year,group,cohort,occ_code,num,occ_income,occ_grade,occ_wage,occ_ln_income_arith,occ_ln_income_geo,occ_ln_wage_arith,occ_ln_wage_geo,occ_var_ln_income,occ_var_ln_wage
2012,3,0,18,30452,55122.21,13.79548,25.39622,10.91731,10.7989,3.234601,3.115295,.2576068,.256508
2012,3,0,19,5090,56656.17,13.63772,26.5734,10.94476,10.85621,3.279911,3.194651,.1844154,.174186
2012,3,0,20,55142.5,76955.85,15.55013,35.40385,11.25099,11.11413,3.566821,3.425343,.2778058,.2835704
2012,3,0,21,333167.5,47319.96,14.01822,21.00705,10.76469,10.52357,3.044858,2.825372,.4628119,.4173457
2012,3,0,22,15332,43397.71,14.48448,20.36853,10.67816,10.5345,3.013991,2.882185,.3152807,.2920223
2012,3,0,23,18360.5,37750.14,13.97593,17.81543,10.53874,10.36838,2.880065,2.720336,.3204243,.3026225
2012,3,0,24,14615.5,38831.61,13.98741,18.58506,10.56699,10.4748,2.922358,2.828237,.1901377,.1992298
2012,3,0,25,20919.5,42803.68,13.72571,20.01563,10.66438,10.48374,2.996513,2.83556,.3119794,.2851854
2012,3,0,26,7589.5,47277.22,12.98715,22.84933,10.76378,10.6795,3.128922,3.044158,.168121,.1719842
2012,3,0,27,6379,43376.05,13.89246,20.63599,10.67766,10.58937,3.027037,2.943197,.1842538,.177549
2012,3,0,28,61626.5,46414.95,13.18887,21.49844,10.74538,10.6305,3.067981,2.958668,.2550294,.2431921
2012,3,0,29,159360,35393.41,13.15459,16.70883,10.47428,10.31209,2.815937,2.666746,.3123131,.2840759
2012,3,0,30,95707,38851.89,14.10534,18.3141,10.56751,10.42515,2.907671,2.778609,.2844253,.2589114
2012,3,0,31,42214,40674.93,14.10883,19.45098,10.61337,10.48958,2.967898,2.850312,.2570217,.2506692
2012,3,0,32,25871.5,26201.94,12.47376,12.97289,10.17359,10.04758,2.562862,2.44101,.2586207,.2448073
2012,3,0,33,21009,62856.48,13.54039,24.49902,11.04861,10.94051,3.198633,3.082468,.2341531,.2456812
2012,3,0,34,121082,56762.36,13.86656,25.76894,10.94663,10.82212,3.24917,3.125453,.2711015,.2744575
2012,3,0,35,131319,38258.69,13.41963,18.23395,10.55213,10.39017,2.903285,2.745128,.3220005,.3128534
2012,3,0,36,219753.5,24794.25,13.05813,12.03813,10.11837,9.970357,2.488079,2.356911,.3013096,.2683046
2012,3,0,37,96738.5,31692.91,13.5454,14.96533,10.36385,10.21768,2.705736,2.565085,.2902101,.2863997
2012,3,0,38,177385,29652.94,12.73085,14.22041,10.29732,10.16388,2.654678,2.52872,.2751027,.2595241
2012,3,0,39,85783,35328.42,13.87479,16.47857,10.47244,10.29919,2.802061,2.629438,.3774686,.3782581
2012,3,0,40,3068.5,60061.8,13.29998,25.16295,11.00313,10.46285,3.225373,2.695061,.8388537,.8379595
2012,3,0,41,15244,28187.26,11.43775,12.73923,10.24663,10.0081,2.544687,2.314885,.3773894,.3941472
2012,3,0,42,62557,26244.06,12.51897,12.54965,10.17519,10.00995,2.529693,2.368688,.3321095,.3249652
2012,3,0,43,4464.5,31744.58,11.9897,13.99224,10.36548,10.21459,2.638503,2.473037,.3149036,.3291919
2012,3,0,44,113942,42893.75,12.80831,19.50814,10.66648,10.53735,2.970832,2.84305,.2769133,.280288
2012,3,0,45,64690,47838.61,13.40844,22.00734,10.77559,10.63496,3.091376,2.952175,.3024741,.2968643
2012,3,0,46,50775.5,41863.59,12.59338,19.56441,10.64217,10.51618,2.973712,2.852356,.2727024,.2641524
2012,3,0,47,265797.5,40880.51,12.48959,18.99168,10.61841,10.43837,2.944001,2.767548,.3780345,.3685682
2012,3,0,48,6749,48970.99,12.13217,18.72446,10.79898,10.65819,2.929831,2.779095,.3080845,.3114067
2012,3,0,49,42244,51709.7,12.95869,22.59985,10.8534,10.72595,3.117944,3.001093,.2540144,.2315402
2012,3,0,50,15453,39723.91,12.47764,18.25066,10.58971,10.47626,2.904201,2.805897,.2408588,.2057912
2012,3,0,51,1707,36705.81,11.30404,17.51937,10.51069,10.24737,2.863307,2.625224,.4812261,.4379777
2012,3,0,52,2222.5,29137.41,12.28661,14.24762,10.27978,10.13084,2.65659,2.524161,.3510179,.3014165
2012,3,0,53,16069.5,43988.27,13.55904,20.99018,10.69168,10.48053,3.044055,2.841213,.3118941,.2980425
